receiver_address,usdc_received
0x52071B912c3175B7BF575c708180ea9cA9cA6a49,1155.0
0x7f2e5D9b8307232afdC51e30FE299161c11312Ec,1035.0
0x371A366d44EE3a4E72BE7AF1f6B41f372dB72E5b,965.0
0x0442893062b33A9BCfca6Ec57Bad1502830409fB,770.0
0x63a430D31D56BE625c57634EAC110d246F0FF7a0,712.0
0xC7A9066067Faf14c0B19546515c38e568c5D8700,705.0
0xB4300a6378edB916d5B53435599F2A0438307e49,700.0
0x7620126205A0E9A2E73f39983da1b27A03e93F57,687.0
0x35D90815542a330Df8591B509bc1501fE63c3F36,665.0
0x88C442Fd24f89912748647e2df1dDE4A555f3A64,637.0
0x60e25af83ab2af4E246153A9CDC5b487B7f385dB,624.0
0x3e0f1968817Bca3bD6CeD604B945Ee4CB9d2d017,620.0
0x9551DB18EaF2F81a811a4a1c6f5D0900bC9B0aC0,600.0
0xCDF56e23283c813F7D3c9eFE2867e6a4d42abA29,589.0
0x360b507a96BD5863840313e55C311F70093793f7,585.0
0xc078BDF020cb5e6924B7C643F9581777504ace2d,565.0
0xf84004eD0d825Bf2935f9c9A4092D759416F2cd0,560.0
0xD6e9c1FDE524Ab7D4A1150F8E08c9dDc67f80AAd,557.0
0x59e02b9aD142983fa81a5d7047a5608B1bE3c116,555.0
0x6e86fe36A726F44215b24f5ECF893E28Cb7C13d1,545.0
0xb426dB8cE2EE596aE9c24acff3009fc50D84Dcbf,545.0
0xf73A88B24232B50bb6539B8A003B2f6451aEE019,540.0
0x5e7412469EcbcdF450Aa29a61C49E018b84013Bc,540.0
0x907B1546416d6a95dab08CA74e1D7cF6176B8f6c,535.0
0xEfE7090740328f10da7fc0363dA2FD1e49A764a8,535.0
0x151E6Ef395e2fFa8261266778CA72629fc14a148,535.0
0x3c4635e58Dc8AcbcB63E4aF581BF068B9eAD653f,534.0
0x0EdF70945faE088dD150213175c552cE7AE6a87e,527.0
0x92F2334d75fcEb0338Ee088038277A7061220A22,525.0
0xa93D15B07934b0da2c690Ae9c252B7abA59D7705,515.0
0x8F5c91B014C433D66bBF36c9a86D457703eCe027,515.0
0x4D198d6a1E345762F10AB0d747bA8E50b70c648B,515.0
0x6dD7FF58dd2aBca27F46529471D8EfbC8cd5C905,512.0
0x63B8AdDe2d53f0136029d5303fA5874A5acb0569,510.0
0xC77FF50599806c1d56933437F4089DCE1520562b,505.0
0x05499Cc27D0fd7D5D6a1C0a31B56b014e3c07d65,505.0
0x1ffcD029CE51fFf63C2Cc32445779CDE27C0C40f,497.0
0x0eA30A2b3f27b2e2e24443bcEBd239aFf167C66A,494.0
0xFd73d508E21cc8B2D210b62F81f2a2cE463f2C46,492.0
0xdE44313b87DFF41432bC9E2b684E4A51B1997F85,487.0
0x71F7320f415B1AC0aE0Cd1ecaF96Dd0a46C5ffc8,477.0
0xe201d196cCDd834c792B2fD92b8974953f2B11AA,470.0
0x19C8635431E546Fe9376260A50e97F1bE028E338,470.0
0x02D961c577746ba35E65bff1016088016F49e21F,461.0
0x65C6E950754810aEfB955f5a58C3547b9ffb75ff,460.0
0x1DCBa8fF20483BAc2de5E8Ea5F30bd822460478A,460.0
0xD4581E7D494a1B548b3714F8098B7797D7d01732,455.0
0x1086e63435E59E19Cb7B44AD7043F87801aF8bC3,455.0
0xc1777A50800502F58ed7a86b0A5dE8f43Ef73Ee5,454.0
0x1898BD901Fe634de6638B09d34dfc37F019E9abb,454.0
0x8D68b7e9855A09705001B11F6BE75FfF7213e21D,452.0
0x943c857D4e0Ca57B83F09b41c18d3Af13c30c8f5,445.0
0x24A46cD626c848089a79e43dD715c161d82badDC,440.0
0x04B2B8Fc1a4F062ed212c523d62603792c2653e5,440.0
0x0Cdb5D06442D554447e2fe296a83918ad7E712ac,436.0
0x5638C596e0485Fc68056cf3d260c66D7d3caB5b4,435.0
0xa19b82df9dCce09F838CFd0c6D40E5fb627bE8ec,430.0
0x53CdA74B206f1D0254d4D43058d9596C865A5BDe,430.0
0xE3235c40c68D1a83F6b3b8fe8ea42AF620301b72,420.0
0x274737Daaf0EA77a3018035b44c0068E9B541058,410.0
0x99B84067CbD6eC21e8C02b325D41F02A0637B1d7,410.0
0xe6a519EC9f97dDc6D92c816a936d1b192D3E1e1B,406.0
0xff2Fb07fa9dEC99af5C7B7891b4D107D7C73642E,404.0
0xf7915EE42Efe47E66087Eb344E506b1F3e26B49D,400.0
0x92Def0f071b0B4bcf8191fe5756D9d3f33B5e98E,395.0
0x6D0d71A55740629F74250080B0F4C0f3f0104A71,395.0
0xeAd6f1A39ea46a3a46Af4890F6C9756Af9C1990A,395.0
0x0421b5fEF47877aC743Ec9590373042BdC63C1A5,394.0
0x2De33631388F85594456d1BD17D89B48E32716A7,392.0
0xf845c4CB94c3e22f11fc0b60A6b2eFF67dA7FbAa,389.0
0xd6B3C1411DD8A65fAEF7C58f3810f6F9ca575E3E,377.0
0x8Da4351dDA9D6CbFf80A1996addaB05533012946,377.0
0xf2E71136f191aB1A4DB2883f40526424E34F8771,374.0
0x99bAB60D0a76918AAfc00Bd1eF2e900B1C96Bb02,370.0
0x13db9F524c81217D736346544bd6BC6356e39a16,362.0
0xDA2a0555794811694E47b9dFabcdA081692127BA,362.0
0xe811D67bAaBf765129eb46d7A9a8b82Cb6456C54,362.0
0xb137667a853b5368eaf7237F7175f9c29134326B,360.0
0x8F3103d7674D86b9cb10135816A704a2CCD27cB9,357.0
0x60A4de733378FD98d8707E9eb3ed039b8CB7e5e6,355.0
0x67FE2fa872581EA6a6CCE6a78bc5d121B5C5Ef0e,355.0
0x40b5daF9Fa058624165F0afC2e9c4CB017b9B931,355.0
0x6142Ab5c49Fa2Ce103c711F477B4F0C2C31e72e4,350.0
0x2D76f71d3a8d79185641f4803ccbC00F396fb1c6,345.0
0x4BcF13F7bF1217F855E379044487014369e12FD5,345.0
0x7B25CC098133FA8b2aE6C81162e20c53D59F0630,345.0
0xe19a1F6c50792e197Ff338557e1E92E9F2cf28bC,342.0
0xDA56a75cBf4cec6983bd075778686E44c34dF8E8,341.0
0x7A1Fff5cB77cA7A4A3873Db95b46417498cEA4A0,340.0
0x9318f5c5E2EB658CA85c397fD25dd5eda6AF5DD8,340.0
0x1af435C613c6630A9FEf29c45DE3Ed7A332B682b,335.0
0xc705635D3E9d30555A2937341ec34c367B7Ad88c,332.0
0x04dCEF7D9227b1Ba8769c781EC46D0f2248c28A6,330.0
0x75D91AEbA639d7A8BEe823A02d3D4c4095f01E05,330.0
0xD4BD9004B224f2d6528bE597989672A5C8676d23,330.0
0xD012886295D4277D83aC59bAD2895a36b60517a0,330.0
0xb539EdcC1Bf7d07Cc5EFe9f7d9D994Adce31fde0,320.0
0xf44a366A8Ff33FeCBf437B14b2D5C7f4232E1e7d,320.0
0x493FFa65Cd5809c1b9c14EcBc0525108db24c51a,320.0
0x482F53c46da8E4B3211EBdA95D13E8A40D43BC4d,320.0
0xe567067830e951c41D9468aed4D24930202a768b,315.0
0xfFc6dcb3499f088F0dfa9e91669205E0424f0ca0,314.0
0xeCAC049801e4B0bF0F4ecc25C5C8a854B75261a8,314.0
0xbBf0643D5c4479053F9C1E78f7d51d373Acd959D,312.0
